address,district,beat,grid,crimedescr,ucr_ncic_code,latitude,longitude
35TH ST / Y ST,6,6A        ,1002,GANG ACTIVITY - I RPT,7000,38.55472055,-121.4671236
1525 AKRON WAY,4,4C        ,985,CHILD CUSTODY - I RPT,7000,38.52270247,-121.5008974
21ST ST / MEADOWVIEW RD,5,5A        ,1393,TRAFFIC-ACCIDENT INJURY,5400,38.48140918,-121.4933503
6366 MACK RD,5,5C        ,1623,484 PC   PETTY THEFT/INSIDE,2308,38.47295223,-121.4281268
7236 GREENHAVEN DR,4,4C        ,1269,11357(B)HS POSS -28.5GR MARIJ,3562,38.49372331,-121.5247086
5030 36TH ST,6,6A        ,1081,594(B)(1)PC  VANDALISM +$400,2999,38.52957118,-121.4684754
1408 RESPONSE RD,2,2C        ,626,459 PC  BURGLARY VEHICLE,2299,38.5971141,-121.4378627
FLORIN PERKINS RD / FOLSOM BLVD,3,3C        ,1116,TRAFFIC-ACCIDENT-NON INJURY,5400,38.54737452,-121.39233
206 GIFFORD WAY,3,3C        ,877,BURGLARY - I RPT,7000,38.56595598,-121.4006742
24TH ST / MEADOWVIEW RD,5,5A        ,1396,TOWED/STORED VEH-14602.6,7000,38.48142831,-121.4803373
1727 KENWOOD ST,2,2B        ,546,TRAFFIC - I RPT,7000,38.62529444,-121.4258406
13TH ST / J ST,3,3M        ,735,TOWED/STORED VEH-14602.6,7000,38.57917936,-121.4892102
19TH ST / G ST,3,3B        ,726,TOWED/STORED VEHICLE,7000,38.58032651,-121.4798128
3555 AUBURN BLVD,2,2A        ,509,MISSING PERSON,7000,38.63862878,-121.3815598
30TH ST / T ST,3,3C        ,861,4140 BP  POSS OF HYPO NEEDLE,3599,38.56211814,-121.4713211
600 K ST,3,3M        ,742,484 PETTY THEFT-SHOPLIFT,2303,38.5797426,-121.4987072
ADDISON WAY / AMANDA WAY,5,5A        ,1394,459 PC  BURGLARY BUSINESS,2203,38.48220754,-121.4851106
1342 PALOMAR CIR,4,4C        ,1279,5150 WI DANGER SELF/OTHERS,7000,38.49793266,-121.5076046
CALZADA WAY / SERIO WAY,5,5C        ,1654,20001(A) VC HIT/RUN INJ/DEATH,5401,38.44772249,-121.4101087
3301 FONG RANCH RD,1,1B        ,404,243(E)1 BATTERY NONCOHAB SPOUS,1315,38.63020663,-121.4959999
2360 53RD AVE,4,4B        ,1353,5150 WI DANGER SELF/OTHERS,7000,38.50289229,-121.4831689
21ST ST / FLORIN RD,4,5A        ,1354,TOWED/STORED VEH-14602.6,7000,38.49572558,-121.4912641
3907 SAN CARLOS WAY,6,6A        ,1052,484 PC PETTY THEFT,2399,38.53921315,-121.461558
5500 MACK RD,5,5C        ,1623,484 PC  PETTY THEFT/ OUTSIDE,2309,38.47345298,-121.4355908
5433 9TH AVE,6,6B        ,1036,459 PC  BURGLARY RESIDENCE,2204,38.543788,-121.4418771
111 I ST,3,3M        ,731,594(B)(2)(A)VANDALISM GRAF-400,2999,38.58468227,-121.5043854
7830 48TH AVE,6,6C        ,1445,11350(A)HS POSS CNTRL SUBST,3532,38.50890986,-121.4121265
16TH ST / P ST,3,3A        ,766,10.48.150 E FALSIFY PKG PERMIT,7399,38.57147205,-121.4880901
3500 FOLSOM BLVD,3,3C        ,853,CASUALTY REPORT,7000,38.56617746,-121.4625542
2505 RIVERSIDE BLVD,4,4A        ,905,484 PC   PETTY THEFT/INSIDE,2308,38.56201402,-121.4972545
EL CAMINO AVE / EMPRESS ST,2,2C        ,564,653.22(A) LOITER PROSTITUTION,4099,38.61112009,-121.4473381
5949 LAKE CREST WAY,4,4C        ,1225,10851(A)VC TAKE VEH W/O OWNER,2404,38.51881458,-121.515842
FLORIN RD / 29TH ST,4,5A        ,1356,TRAFFIC-ACCIDENT-NON INJURY,5400,38.49580633,-121.4737197
MACK RD / STOCKTON BLVD,5,5C        ,1607,11359 HS POSS FOR SALE MARIJ,3560,38.47433721,-121.4189709
NORTHFIELD DR / NORTHVIEW DR,1,1C        ,447,11357(B)HS POSS -28.5GR MARIJ,3562,38.6101634,-121.4790946
13TH ST / J ST,3,3M        ,735,TOWED/STORED VEHICLE,7000,38.57917936,-121.4892102
73 LA FRESA CT,5,5B        ,1602,602(K)TRESPASS:INJURE PROPERTY,5707,38.48915265,-121.4564502
19 BAJA CT,1,1B        ,422,243(E)1 BATTERY NONCOHAB SPOUS,1315,38.61731183,-121.5127092
6TH ST / I ST,3,3M        ,732,TOWED/STORED VEH-14602.6,7000,38.5828163,-121.4983043
ELEANOR AVE / OAKMONT ST,2,2B        ,552,TOWED/STORED VEH-14602.6,7000,38.61663853,-121.4500323
414 K ST,3,3M        ,742,484 PETTY THEFT-SHOPLIFT,2303,38.58062786,-121.5014996
1919 19TH ST,3,3B        ,776,594(B)(1)PC  VANDALISM +$400,2999,38.56623766,-121.4854695
8766 FRUITRIDGE RD,6,6C        ,1409,487(A) PC GRAND THEFT,2303,38.5245855,-121.3788285
2020 K ST,3,3B        ,746,594(B)(2)(A) VANDALISM/ -$400,2999,38.57506207,-121.4797077
BAMFORD DR / GRANDSTAFF DR,5,5C        ,1623,242 PC  BATTERY CIVILIAN,1313,38.47059147,-121.43386
6715 GLORIA DR,4,4C        ,1272,308(B) PC MINOR POSS TOBACCO,5599,38.50298477,-121.5346969
GARDEN HWY / ARDEN GARDEN CONNECTOR,1,1C        ,447,242 PC  BATTERY CIVILIAN,1313,38.60728719,-121.4812714
480 EL CAMINO AVE,2,2C        ,602,10851(A)VC TAKE VEH W/O OWNER,2404,38.61085293,-121.4564534
DEL PASO BLVD / JUDAH ST,2,2B        ,546,TRAFFIC - I RPT,7000,38.62558366,-121.4276865
7800 ELDER CREEK RD,6,6C        ,1445,10851(A)VC TAKE VEH W/O OWNER,2404,38.51018792,-121.4129023
3900 MARTIN LUTHER KING JR BLVD,6,6A        ,1051,12022(A)(1)PC ARMED COMM FEL,5299,38.5392541,-121.4650574
2146 SOUTH AVE,2,2B        ,527,273.6(A) PC VIO DV COURT ORDER,5007,38.63248017,-121.4164146
7823 SUMMERSDALE DR,5,5B        ,1621,243(E)1 BATTERY NONCOHAB SPOUS,1315,38.47334822,-121.4411594
1750 AUBURN BLVD,2,2C        ,567,11364 HS POSS DRUG PARAPH,3599,38.6196628,-121.4247939
P ST / 26TH ST,3,3B        ,768,TRAFFIC-ACCIDENT INJURY,5400,38.56791951,-121.4747617
6824 CALVINE RD,5,5C        ,1654,459 PC  BURGLARY RESIDENCE,2204,38.44925489,-121.4226457
18TH ST / K ST,3,3M        ,746,459 PC  BURGLARY VEHICLE,2299,38.57629892,-121.4830358
5770 BELLEVIEW AVE,6,6C        ,1403,TRAFFIC-ACCIDENT-NON INJURY,5400,38.52201663,-121.420355
3832 38TH ST,6,6A        ,1051,MISSING PERSON,7000,38.53992632,-121.4667271
RIO LINDA BLVD / MARYSVILLE BLVD,2,2A        ,204,TRAFFIC-ACCIDENT INJURY,5400,38.66207022,-121.4477449
1421 W ST,3,3A        ,785,242 PC  BATTERY CIVILIAN,1313,38.56457981,-121.4930954
19TH ST / L ST,3,3M        ,746,459 PC  BURGLARY VEHICLE,2299,38.57484527,-121.4821859
8506 TAMBOR WAY,5,5C        ,1654,MISSING PERSON,7000,38.44862637,-121.4096613
51 BASCOM CT,1,1A        ,113,10852 VC VEHICLE TAMPERING,2999,38.67279982,-121.5215208
7560 RUSH RIVER DR,4,4C        ,1292,HARASSMENT - I RPT,7000,38.4848876,-121.5356952
4211 NORWOOD AVE,2,2A        ,232,666 PC PETTY THEFT W/PRI CONV,2399,38.64479784,-121.4581238
1270 HELENA AVE,2,2B        ,564,594(B)(2)(A) VANDALISM/ -$400,2999,38.61632755,-121.4378757
1400 RENE AVE,2,2A        ,505,11377(A)HS POSS AMPHETAMINES,3572,38.64193226,-121.4336789
20TH ST / G ST,3,3B        ,726,11377(A)HS POSS AMPHETAMINES,3572,38.57996901,-121.4784756
3RD ST / O ST,3,3A        ,762,484 PETTY THEFT/LICENSE PLATE,2399,38.57724403,-121.5051437
R ST / 16TH ST,3,3A        ,766,459 PC  BURGLARY VEHICLE,2299,38.5692795,-121.4890397
2505 RIVERSIDE BLVD,4,4A        ,905,666 PC PETTY THEFT W/PRI CONV,2399,38.56201402,-121.4972545
1973 NEWPORT AVE,5,5A        ,1371,459 PC  BURGLARY RESIDENCE,2204,38.49281883,-121.4940415
100 CADILLAC DR,3,3C        ,878,10851(A)VC TAKE VEH W/O OWNER,2404,38.57227839,-121.4192296
2299 GROVE AVE,2,2C        ,602,11350(B)HS POSSESS QUAALUDES,3582,38.60909145,-121.45969
2125 NORTH AVE,2,2A        ,237,459 PC  BURGLARY RESIDENCE,2204,38.64028718,-121.4170159
4203 34TH ST,6,6A        ,1061,484 PETTY THEFT/LICENSE PLATE,2399,38.53673892,-121.4704533
1821 O ST,3,3B        ,766,459 PC  BURGLARY VEHICLE,2299,38.5719397,-121.4839488
5306 DASCO WAY,1,1A        ,116,TOWED/STORED VEHICLE,7000,38.67117206,-121.4970061
2117 O ST,3,3B        ,767,CASUALTY REPORT,7000,38.570857,-121.4800882
2211 F ST,3,3B        ,727,11364 HS POSS DRUG PARAPH,3599,38.58048383,-121.4745188
BRUCEVILLE RD / VALLEY HI DR,5,5C        ,1624,TOWED/STORED VEH-14602.6,7000,38.4706931,-121.4271773
1563 32ND ST,3,3C        ,851,10851(A)VC TAKE VEH W/O OWNER,2404,38.56560764,-121.4658077
FREEPORT BLVD / OREGON DR,4,4A        ,976,10851 VC AUTO THEFT LOCATE,2404,38.52676399,-121.4965275
34TH ST / 2ND AVE,6,6A        ,1013,20002(A) HIT/RUN,5401,38.55302823,-121.4693358
2ND AVE / 34TH ST,6,6A        ,1013,243(E)1 BATTERY NONCOHAB SPOUS,1315,38.55302823,-121.4693358
3120 NORTHGATE BLVD,1,1C        ,419,211 PC ROBBERY- BUSINESS,1299,38.62229136,-121.4752572
678 WOODLAKE DR,2,2C        ,613,10851(A)VC TAKE VEH W/O OWNER,2404,38.6047491,-121.4512963
28TH ST / N ST,3,3B        ,748,459 PC  BURGLARY VEHICLE,2299,38.56940229,-121.4711377
5399 FRUITRIDGE RD,6,6B        ,1084,5150 WI DANGER SELF/OTHERS,7000,38.52532233,-121.4431889
3555 AUBURN BLVD,2,2A        ,509,MISSING PERSON,7000,38.63862878,-121.3815598
2431 69TH AVE,5,5A        ,1386,10851(A)VC TAKE VEH W/O OWNER,2404,38.48716439,-121.4796842
4515 U ST,6,6B        ,1004,484 PETTY THEFT/LICENSE PLATE,2399,38.55612056,-121.4523277
1629 G ST,3,3B        ,726,484 PC   PETTY THEFT/INSIDE,2308,38.58129991,-121.4825623
3811 FLORIN RD,5,5B        ,1359,459 PC  BURGLARY BUSINESS,2203,38.49682424,-121.4616086
3550 MARYSVILLE BLVD,2,2B        ,526,MISCELLANEOUS I RPT (ZMISC),7000,38.63228581,-121.4303283
2201 NORTHVIEW DR,1,1C        ,447,SUSP PERS-NO CRIME - I RPT,7000,38.60880803,-121.4805674
98 CREEKS EDGE WAY,5,5B        ,1602,FAMILY DISTURBANCE - I RPT,7000,38.48466401,-121.4578294
2726 CAPITOL AVE,3,3B        ,748,594(B)(2)(A) VANDALISM/ -$400,2999,38.57035191,-121.4710327
1025 ALHAMBRA BLVD,3,3C        ,841,487(A) PC GRAND THEFT,2303,38.57188611,-121.4648897
LINDBROOK WAY / WESTBORO WAY,5,5C        ,1637,23152(A) VC DUI-ALCOHOL/DRUGS,5404,38.46736384,-121.4247312
1417 R ST,3,3A        ,765,10851(A)VC TAKE VEH W/O OWNER,2404,38.56987859,-121.4910186
3100 MEADOWVIEW RD,5,5A        ,1505,242 PC  BATTERY CIVILIAN,1313,38.48005429,-121.4722254
433 MARINER POINT WAY,4,4C        ,1284,211 PC  ROBBERY UNSPECIFIED,1299,38.48918152,-121.5458865
CAPITOL AVE / 30TH ST,3,3C        ,841,TRAFFIC-ACCIDENT INJURY,5400,38.56979971,-121.4679798
1 SPORTS PKWY,1,1A        ,305,20002(A) HIT/RUN,5401,38.64790058,-121.5170835
MARTIN LUTHER KING JR BLVD / FRUITRIDGE,6,          ,1081,148.9 PC FALSE ID TO OFFICER,4803,38.52495123,-121.4646263
6378 LOCHINVAR WAY,5,5C        ,1634,MISSING PERSON,7000,38.45721442,-121.4296391
3200 TRUXEL RD,1,1C        ,414,10851(A)VC TAKE VEH W/O OWNER,2404,38.62648616,-121.4966948
4370 AUSTIN ST,2,2A        ,232,10851(A)VC TAKE VEH W/O OWNER,2404,38.64729201,-121.4612527
7560 TWILIGHT DR,5,5A        ,1396,MISSING PERSON,7000,38.48301736,-121.4771048
1317 F ST,3,3A        ,725,459 PC  BURGLARY VEHICLE,2299,38.58366772,-121.4864458
57TH AVE / WOODBINE AVE,4,4B        ,1356,TOWED/STORED VEH-14602.6,7000,38.49942812,-121.4791546
STOCKTON BLVD / FRUITRIDGE RD,6,6B        ,1086,20001(A) VC HIT/RUN INJ/DEATH,5401,38.52497346,-121.4425904
900 15TH ST,3,3M        ,735,10851(A)VC TAKE VEH W/O OWNER,2404,38.57941421,-121.4864344
7495 ABIDING PL,5,5B        ,1602,5150 WI DANGER SELF/OTHERS,7000,38.48461318,-121.456359
3430 BRIDGEFORD DR,1,1B        ,404,215(A) PC    CARJACKING,1212,38.63036355,-121.4873311
ARLISS WAY / HOGAN DR,4,4B        ,1334,TOWED/STORED VEHICLE,7000,38.50793689,-121.4881786
SUTTERVILLE RD / BABICH AVE,4,4A        ,945,23152(A) VC DUI-ALCOHOL/DRUGS,5404,38.53555587,-121.4957557
815 L ST,3,3M        ,742,459 PC  BURGLARY VEHICLE,2299,38.57898287,-121.4963828
4932 SHADY LEAF WAY,2,2A        ,212,459 PC  BURGLARY VEHICLE,2299,38.65701743,-121.4605138
1714 GLENROSE AVE,2,2C        ,567,487(A) PC GRAND THEFT,2303,38.61444639,-121.4266349
2710 D ST,3,3B        ,718,368(D) THEFT-ELDER >400,2399,38.58031934,-121.4673661
7940 RICHION DR,5,5B        ,1622,594(B)(1)PC  VANDALISM +$400,2999,38.46879146,-121.4352539
1689 ARDEN WAY,2,2C        ,619,LOST PROPERTY - I RPT,7000,38.60154457,-121.42747
1419 5TH ST,3,3A        ,763,530.5 PC USE PERSONAL ID INFO,2604,38.57691743,-121.5013436
2350 AMERICAN RIVER DR,3,3C        ,877,459 PC  BURGLARY VEHICLE,2299,38.56816494,-121.4062379
805 8TH AVE,4,4A        ,933,459 PC  BURGLARY VEHICLE,2299,38.55006991,-121.5089338
1571 WATERWHEEL DR,1,1B        ,444,459 PC  BURGLARY VEHICLE,2299,38.61117241,-121.4961379
3930 SHINING STAR DR,5,5B        ,1399,459 PC  BURGLARY RESIDENCE,2204,38.48718235,-121.4620097
3037 GREAT FALLS WAY,3,3C        ,1116,484 PC   THEFT-LIC PLATE TABS,2399,38.55207317,-121.3918668
20TH ST / P ST,3,3B        ,766,484 PC PETTY THEFT,2399,38.57005626,-121.4827802
211 30TH ST,3,3C        ,801,459 PC  BURGLARY BUSINESS,2203,38.58138835,-121.4622017
12 COSTA BRASE CT,2,2A        ,212,484 PC   PETTY THEFT/INSIDE,2308,38.65574053,-121.4646522
541 MOREY AVE,2,2A        ,512,243(E)1 BATTERY NONCOHAB SPOUS,1315,38.63506804,-121.4538321
625 DISPLAY WAY,2,2A        ,511,451(D) PC  ARSON OF PROPERTY,2099,38.63995013,-121.4514665
2626 RIO LINDA BLVD,2,2B        ,563,484 PC PETTY THEFT,2399,38.61528522,-121.4455173
20TH ST / P ST,3,3B        ,766,459 PC  BURGLARY VEHICLE,2299,38.57005626,-121.4827802
RIVERSIDE BLVD / 13TH AVE,4,4A        ,945,23152(A) VC DUI-ALCOHOL/DRUGS,5404,38.54569404,-121.5085583
180 W EL CAMINO AVE,1,1C        ,449,5150 WI DANGER SELF/OTHERS,7000,38.61110858,-121.4671502
3647 3RD AVE,6,6A        ,1013,245(A)(1)AWDW/NO FIREARM/CIVIL,1315,38.55136324,-121.4661451
2410 W EL CAMINO AVE,1,1B        ,442,459 PC  BURGLARY VEHICLE,2299,38.61351653,-121.5132636
2922 WEALD WAY,1,1B        ,421,23152(A) VC DUI-ALCOHOL/DRUGS,5404,38.61840634,-121.5190123
36TH ST / 3RD AVE,6,6A        ,1013,PERSON INFORMATION - I RPT,7000,38.55128541,-121.4671318
HWY 99 NB / MACK RD,5,5C        ,1607,11350(A)HS POSS CNTRL SUBST,3532,38.47428454,-121.4227089
WEALD WAY / GATEWAY OAKS DR,1,1B        ,421,TOWED/STORED VEHICLE,7000,38.61737258,-121.5180428
2313 Q ST,3,3B        ,767,THREATS - I RPT,7000,38.56804356,-121.4785138
4956 MACK RD,5,5B        ,1621,459 PC  BURGLARY VEHICLE,2299,38.4735965,-121.4436724
MEADOWVIEW RD / RED WILLOW ST,5,5A        ,1391,GANG ACTIVITY - I RPT,7000,38.48134512,-121.4988143
5050 MACK RD,5,5B        ,1621,10851(A)VC TAKE VEH W/O OWNER,2404,38.47390443,-121.4409071
TINKER WAY / EMMONS ST,2,2A        ,236,PERSON INFORMATION - I RPT,7000,38.64470526,-121.4268957
DEER CREEK DR / MACK RD,5,5B        ,1614,TRAFFIC-ACCIDENT INJURY,5400,38.47431603,-121.4546419
3424 FOLSOM BLVD,3,3C        ,851,459 PC  BURGLARY BUSINESS,2203,38.56640912,-121.4633604
6950 GREENHAVEN DR,4,4C        ,1274,459 PC  BURGLARY VEHICLE,2299,38.49980087,-121.523571
4100 NORTHGATE BLVD,1,1C        ,309,459 PC  BURGLARY VEHICLE,2299,38.64316291,-121.4745819
2901 FREEPORT BLVD,4,4A        ,936,374.4(A) LITTERING,7399,38.55151914,-121.4885025
RAMONA AVE / POWER INN RD,6,6C        ,1124,484 PETTY THEFT/LICENSE PLATE,2399,38.54218087,-121.4090938
163 PINEDALE AVE,2,2A        ,212,459 PC  BURGLARY VEHICLE,2299,38.65909484,-121.4626063
8128 CARIBBEAN WAY,3,3C        ,898,CASUALTY REPORT,7000,38.55703001,-121.4030188
BAXTER AVE / JOHNSTON RD,2,2C        ,612,10851(A)VC TAKE VEH W/O OWNER,2404,38.60140844,-121.4620787
2736 DORINE WAY,1,1C        ,436,10851(A)VC TAKE VEH W/O OWNER,2404,38.61633341,-121.4864485
3550 MARYSVILLE BLVD,2,2B        ,526,FOUND PROPERTY - I RPT,7000,38.63228581,-121.4303283
8043 PEGLER WAY,5,5B        ,1631,10851(A)VC TAKE VEH W/O OWNER,2404,38.4653181,-121.440391
PEGLER WAY / VALLEY HI DR,5,5B        ,1621,20001(A) VC HIT/RUN INJ/DEATH,5401,38.46602667,-121.4404134
CARNATION AVE / YREKA AVE,4,4B        ,1356,TOWED/STORED VEHICLE,7000,38.49852485,-121.4755412
7485 24TH ST,5,5A        ,1386,MISSING PERSON,7000,38.48760526,-121.4800234
3613 RIO LOMA WAY,1,1B        ,404,10851(A)VC TAKE VEH W/O OWNER,2404,38.633065,-121.4853477
4390 ATTAWA AVE,4,4A        ,957,484 PETTY THEFT/LICENSE PLATE,2399,38.53500243,-121.4848172
6121 BAMFORD DR,5,5C        ,1623,459 PC  BURGLARY RESIDENCE,2204,38.47143596,-121.4308075
7TH ST / L ST,3,3M        ,742,TRAFFIC-ACCIDENT-NON INJURY,5400,38.5791674,-121.4984069
1924 EL CAMINO AVE,2,2C        ,606,10851(A)VC TAKE VEH W/O OWNER,2404,38.61041617,-121.4223802
38 LANYARD CT,4,4C        ,1292,242 PC  BATTERY CIVILIAN,1313,38.48416589,-121.5364964
630 SEQUOIA PACIFIC BLVD,3,3A        ,701,FOUND PROPERTY - I RPT,7000,38.60103545,-121.496374
2926 OBERLIN CT,3,3C        ,1103,459 PC  BURGLARY RESIDENCE,2204,38.54961314,-121.3992939
1300 N C ST,3,3A        ,706,MISCELLANEOUS I RPT (ZMISC),7000,38.59102751,-121.4835098
8401 VALLEY LARK DR,5,5C        ,1644,MISSING PERSON,7000,38.45321298,-121.4373604
2700 GATEWAY OAKS DR,1,1B        ,421,10851(A)VC TAKE VEH W/O OWNER,2404,38.61596119,-121.5154134
6770 FOLSOM BLVD,3,3C        ,856,TRAFFIC-ACCIDENT INJURY,5400,38.5533528,-121.4251815
3113 JUDAH ST,2,2B        ,546,475(C) PASS FORGED NOTE,2506,38.623647,-121.428087
1038 ACACIA AVE,2,2B        ,553,FRAUDULENT DOCUMENTS- I RPT,7000,38.62170113,-121.4429437
1575 34TH ST,3,3C        ,851,530.5 PC USE PERSONAL ID INFO,2604,38.56511217,-121.4643599
EXPO PKWY / LEISURE LN,2,2C        ,623,TRAFFIC-ACCIDENT INJURY,5400,38.59891228,-121.4579336
6921 27TH ST,4,4B        ,1356,10851 VC AUTO THEFT LOCATE,2404,38.50060236,-121.4771018
3027 K ST,3,3C        ,841,CASUALTY REPORT,7000,38.57209976,-121.4659619
HWY 99 SB / 12TH AVE,4,4B        ,937,TRAFFIC-ACCIDENT-NON INJURY,5400,38.54115653,-121.4739308
21ST AVE / 34TH ST,6,6A        ,1061,TOWED/STORED VEH-14602.6,7000,38.53362535,-121.4705253
3555 AUBURN BLVD,2,2A        ,509,MISSING PERSON,7000,38.63862878,-121.3815598
5860 WILKINSON ST,6,6C        ,1404,MISSING PERSON,7000,38.52055303,-121.415442
2834 TOY AVE,4,4B        ,1346,TOWED/STORED VEHICLE,7000,38.5019299,-121.474349
3916 ELM ST,2,2A        ,505,WARRANT SERVED - I RPT,7000,38.6390241,-121.4325151
7769 DIXIE LOU ST,5,5A        ,1504,10851(A)VC TAKE VEH W/O OWNER,2404,38.47481934,-121.476798
MEADOWVIEW RD / DETROIT BLVD,5,5A        ,1398,20002(A) HIT/RUN,5401,38.48151147,-121.4684313
NORTHGATE BLVD / BRIDGEFORD DR,1,1C        ,429,TOWED/STORED VEH-14602.6,7000,38.61726206,-121.4755357
5385 FRANKLIN BLVD,4,4B        ,969,TOWED/STORED VEHICLE,7000,38.52627076,-121.4715167
2801 K ST,3,3B        ,748,SUSP PERS-NO CRIME - I RPT,7000,38.57294038,-121.4690268
152 BELL AVE,2,2A        ,231,594(B)(2)(A) VANDALISM/ -$400,2999,38.64754283,-121.4656067
2248 1/2 GRAND AVE,2,2A        ,517,ELDER ABUSE/PHYS/MENTAL-I RPT,7000,38.63638293,-121.4149332
FRANKLIN BLVD / 29TH AVE,4,4B        ,969,TOWED/STORED VEH-14602.6,7000,38.52659231,-121.4721784
STOCKTON BLVD / EL PARAISO AVE,6,6B        ,1421,22435.2(A) BP POSS SHOP CART,2399,38.51382995,-121.437393
2454 DEL PASO BLVD,2,2B        ,564,TOWED/STORED VEHICLE,7000,38.61242963,-121.446705
FRANKLIN BLVD / COLEMAN WAY,4,4A        ,937,TOWED/STORED VEH-14602.6,7000,38.54168395,-121.4757904
2627 57TH AVE,4,4B        ,1356,TOWED/STORED VEHICLE,7000,38.49967816,-121.4779717
13TH AVE / LAND PARK DR,4,4A        ,946,10851(A)VC TAKE VEH W/O OWNER,2404,38.54402702,-121.5008042
2308 MATSON DR,5,5A        ,1394,594(B)(2)(A) VANDALISM/ -$400,2999,38.4860965,-121.4834231
STOCKTON BLVD / LEMON HILL AVE,6,6B        ,1401,TOWED/STORED VEH-14602.6,7000,38.51585289,-121.4383522
3568 26TH AVE,6,6A        ,1081,459 PC  BURGLARY RESIDENCE,2204,38.52875444,-121.4688136
1689 ARDEN WAY,2,2C        ,619,484 PC   PETTY THEFT/INSIDE,2308,38.59994183,-121.4276508
1900 MARCONI CIR,2,2C        ,567,459 PC  BURGLARY BUSINESS,2203,38.62102212,-121.4220492
3203 LUSCUTOFF CT,6,6C        ,1111,273.6(A) PC VIO DV COURT ORDER,5007,38.54552729,-121.4258249
625 DISPLAY WAY,2,2A        ,511,TOWED/STORED VEHICLE,7000,38.63995013,-121.4514665
6915 27TH ST,4,4B        ,1356,TOWED/STORED VEHICLE,7000,38.50089069,-121.4771032
2782 GROVE AVE,2,2B        ,541,10851 VC AUTO THEFT LOCATE,2404,38.61782428,-121.4592598
3731 MADRONE WAY,1,1A        ,348,5150 WI DANGER SELF/OTHERS,7000,38.6361152,-121.5105746
37TH ST / 2ND AVE,6,6A        ,1014,TOWED/STORED VEH-14602.6,7000,38.55196925,-121.4653678
1628 GRAND AVE,2,2A        ,516,10851 VC AUTO THEFT LOCATE,2404,38.63640599,-121.4294691
5400 LOWELL ST,6,6C        ,1152,10851 VC AUTO THEFT LOCATE,2404,38.5269834,-121.4163996
5312 57TH ST,6,6B        ,1086,1708 US   THEFT OF MAIL,2310,38.52648113,-121.4397787
14TH AVE / FRANKLIN BLVD,4,4B        ,958,TOWED/STORED VEH-14602.6,7000,38.5393973,-121.4753422
6355 LOCHINVAR WAY,5,5C        ,1634,459 PC  BURGLARY RESIDENCE,2204,38.45803743,-121.4300376
4450 EL CENTRO RD,1,1A        ,304,459 PC  BURGLARY RESIDENCE,2204,38.6533205,-121.5385163
FRANKLIN BLVD / 20TH AVE,4,4B        ,958,TOWED/STORED VEHICLE,7000,38.53452891,-121.4741684
FRANKLIN BLVD / 13TH AVE,4,4B        ,958,TOWED/STORED VEH-14602.6,7000,38.54031271,-121.4755662
86 ANGEL ISLAND CIR,4,4C        ,1282,459 PC  BURGLARY RESIDENCE,2204,38.49055344,-121.546318
1905 16TH ST,3,3A        ,775,484 PC PETTY THEFT,2399,38.56784758,-121.4893717
SUTTERVILLE RD / FRANKLIN BLVD,4,4B        ,937,TOWED/STORED VEH-14602.6,7000,38.54106323,-121.47576
1026 ARCADE BLVD,2,2B        ,544,10851 VC AUTO THEFT LOCATE,2404,38.62534078,-121.4432093
4600 BROADWAY,6,6B        ,1035,NON INJ HR/MAIL OUT REPORT,7000,38.54611863,-121.4526562
4018 50TH ST,6,6B        ,1064,10851(A)VC TAKE VEH W/O OWNER,2404,38.53801264,-121.4480405
3137 PALMER ST,2,2B        ,546,484 PETTY THEFT/LICENSE PLATE,2399,38.6245378,-121.4311007
4800 FRANKLIN BLVD,4,4B        ,969,LOST PROPERTY - I RPT,7000,38.53137462,-121.4737407
65TH STREET EXPY / FRUITRIDGE RD,6,6B        ,1141,459 PC  BURGLARY VEHICLE,2299,38.52507559,-121.427517
1820 FRIENZA AVE,2,2C        ,568,459 PC  BURGLARY BUSINESS,2203,38.61199425,-121.4244182
2414 CAPITOL AVE,3,3B        ,747,459 PC  BURGLARY VEHICLE,2299,38.57141267,-121.4754391
SUTTERVILLE RD / FREEPORT BLVD,4,4A        ,957,TRAFFIC-ACCIDENT-NON INJURY,5400,38.53514629,-121.4937694
7700 FOLSOM BLVD,3,3C        ,1101,MISSING PERSON,7000,38.54983935,-121.4144993
1600 VALLEJO WAY,4,4A        ,925,243.6 BATTERY SCHOOL EMPLOYEE,1313,38.55199422,-121.4960208
CORMORANT WAY / ROYALE RD,2,2C        ,606,10851 VC AUTO THEFT LOCATE,2404,38.60687102,-121.4278856
BERCUT DR / RICHARDS BLVD,3,3A        ,701,484G(B) PC ACCESS CARD FRAUD,2605,38.59723293,-121.5022303
3701 J ST,3,3C        ,832,20002(A) HIT/RUN,5401,38.57122973,-121.4566154
1342 PALOMAR CIR,4,4C        ,1279,MISSING PERSON,7000,38.49793266,-121.5076046
FRANKLIN BLVD / 21ST AVE,4,4B        ,958,TOWED/STORED VEH-14602.6,7000,38.53366299,-121.4739615
3301 FONG RANCH RD,1,1B        ,404,VANDALISM - I RPT,7000,38.63020663,-121.4959999
5351 47TH AVE,6,6B        ,1421,466 PC   POSS OF BURG TOOLS,2206,38.51135897,-121.4431441
1000 FLORIN RD,4,4C        ,1287,666 PC PETTY THEFT W/PRI CONV,2399,38.49324791,-121.5219586
