"Number","Name","Generation","About","Types__001","Types__002","Resistant__001","Resistant__002","Resistant__003","Resistant__004","Resistant__005","Resistant__006","Resistant__007","Resistant__008","Resistant__009","Resistant__010","Resistant__011","Resistant__012","Weaknesses__001","Weaknesses__002","Weaknesses__003","Weaknesses__004","Weaknesses__005","Weaknesses__006","Weaknesses__007","Fast Attack(s)__Name","Fast Attack(s)__Type","Fast Attack(s)__Damage","Special Attack(s)__Name","Special Attack(s)__Type","Special Attack(s)__Damage","Weight__Minimum","Weight__Maximum","Height__Minimum","Height__Maximum","Buddy Distance","Base Stamina","Base Attack","Base Defense","Base Flee Rate","Pokèmon Class","MYTHIC","LEGENDARY","Common Capture Area","North America","Western Europe","Australia, New Zealand","Asia","Previous evolution(s)__Number","Previous evolution(s)__Name","Next Evolution Requirements__Amount","Next Evolution Requirements__Name","Next evolution(s)__Number","Next evolution(s)__Name","MaxCP","MaxHP"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sludge","Poison","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sludge Bomb","Poison","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"110","Weezing","Generation I","Weezing loves the gases given off by rotted kitchen garbage. This Pokémon will find a dirty, unkempt house and make it its home. At night, when the people in the house are asleep, it will go through the trash.","Poison","","Grass","Fighting","Poison","Bug","Fairy","","","","","","","","Ground","Psychic","","","","","","Tackle","Normal","12","Dark Pulse","Dark","45","8.31kg","10.69kg","1.05m","1.35m","3km (Big)","130 stamina points.","174 attack points.","221 defense points.","6% chance to flee.","","","","","","","","","109","Koffing","","","","","2073","2250"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Shadow Ball","Ghost","45","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sludge Bomb","Poison","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"111","Rhyhorn","Generation I","Rhyhorn runs in a straight line, smashing everything in its path. It is not bothered even if it rushes headlong into a block of steel. This Pokémon may feel some pain from the collision the next day, however.","Ground","Rock","Normal","Fire","Electric","Poison","Flying","Rock","","","","","","","Water","Grass","Ice","Fighting","Ground","Steel","","Mud Slap","Ground","15","Bulldoze","Ground","35","100.63kg","129.38kg","0.88m","1.13m","3km (Big)","160 stamina points.","140 attack points.","157 defense points.","10% chance to flee.","","","","","","","","","","","50","Rhyhorn candies","112","Rhydon","1055","1182"
"","","","","","","","","","","","","","","","","","","","","","","","","","Rock Smash","Fighting","15","Horn Attack","Normal","25","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Stomp","Normal","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"112","Rhydon","Generation I","Rhydon's horn can crush even uncut diamonds. One sweeping blow of its tail can topple a building. This Pokémon's hide is extremely tough. Even direct cannon hits don't leave a scratch.","Ground","Rock","Normal","Fire","Electric","Poison","Flying","Rock","","","","","","","Water","Grass","Ice","Fighting","Ground","Steel","","Mud Slap","Ground","15","Earthquake","Ground","100","105kg","135kg","1.66m","2.14m","3km (Big)","210 stamina points.","222 attack points.","206 defense points.","6% chance to flee.","","","","","","","","","111","Rhyhorn","","","","","2068","2243"
"","","","","","","","","","","","","","","","","","","","","","","","","","Rock Smash","Fighting","15","Megahorn","Bug","80","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Stone Edge","Rock","80","","","","","","","","","","","","","","","","","","","","","","","","",""
"113","Chansey","Generation I","Chansey lays nutritionally excellent eggs on an everyday basis. The eggs are so delicious, they are easily and eagerly devoured by even those people who have lost their appetite.","Normal","","Ghost","","","","","","","","","","","","Fighting","","","","","","","Pound","Normal","7","Dazzling Gleam","Fairy","55","30.27kg","38.92kg","0.96m","1.24m","5km (Big)","500 stamina points.","60 attack points.","176 defense points.","9% chance to flee.","","","","","","","","","","","","","242","Blissey","549","675"
"","","","","","","","","","","","","","","","","","","","","","","","","","Zen Headbutt","Psychic","12","Hyper Beam","Normal","120","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Psychic","Psychic","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"114","Tangela","Generation I","Tangela's vines snap off easily if they are grabbed. This happens without pain, allowing it to make a quick getaway. The lost vines are replaced by newly grown vines the very next day.","Grass","","Water","Electric","Grass","Ground","","","","","","","","","Fire","Ice","Poison","Flying","Bug","","","Vine Whip","Grass","7","Power Whip","Grass","70","30.63kg","39.38kg","0.88m","1.13m","3km (Medium)","130 stamina points.","183 attack points.","205 defense points.","9% chance to flee.","","","","","","","","","","","","","","","1586","1739"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sludge Bomb","Poison","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solar Beam","Grass","120","","","","","","","","","","","","","","","","","","","","","","","","",""
"115","Kangaskhan","Generation I","If you come across a young Kangaskhan playing by itself, you must never disturb it or attempt to catch it. The baby Pokémon's parent is sure to be in the area, and it will become violently enraged at you.","Normal","","Ghost","","","","","","","","","","","","Fighting","","","","","","","Low Kick","Fighting","5","Brick Break","Fighting","30","70kg","90kg","1.93m","2.48m","3km (Big)","210 stamina points.","181 attack points.","165 defense points.","9% chance to flee.","","","","Early reports that this Pokèmon is likely to be found in: Australia, New Zealand or hatched from an Egg in that geographic area.","","","Common Capture Area","","","","","","","","1875","2043"
"","","","","","","","","","","","","","","","","","","","","","","","","","Mud Slap","Ground","15","Earthquake","Ground","100","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Stomp","Normal","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"116","Horsea","Generation I","Horsea eats small insects and moss off of rocks. If the ocean current turns fast, this Pokémon anchors itself by wrapping its tail around rocks or coral to prevent being washed away.","Water","","Fire","Water","Ice","Steel","","","","","","","","","Electric","Grass","","","","","","Bubble","Water","25","Bubble Beam","Water","30","7kg","9kg","0.35m","0.45m","3km (Medium)","60 stamina points.","129 attack points.","125 defense points.","10% chance to flee.","","","","","","","","","","","50","Horsea candies","117","Seadra","688","794"
"","","","","","","","","","","","","","","","","","","","","","","","","","Water Gun","Water","6","Dragon Pulse","Dragon","65","","","","","","","","","","","","","","","","","","","","","","230","Kingdra","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Flash Cannon","Steel","60","","","","","","","","","","","","","","","","","","","","","","","","",""
"117","Seadra","Generation I","Seadra sleeps after wriggling itself between the branches of coral. Those trying to harvest coral are occasionally stung by this Pokémon's poison barbs if they fail to notice it.","Water","","Fire","Water","Ice","Steel","","","","","","","","","Electric","Grass","","","","","","Dragon Breath","Dragon","6","Blizzard","Ice","100","21.88kg","28.13kg","1.05m","1.35m","3km (Big)","110 stamina points.","187 attack points.","182 defense points.","6% chance to flee.","","","","","","","","","116","Horsea","","","230","Kingdra","1559","1713"
"","","","","","","","","","","","","","","","","","","","","","","","","","Water Gun","Water","6","Dragon Pulse","Dragon","65","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hydro Pump","Water","90","","","","","","","","","","","","","","","","","","","","","","","","",""
"118","Goldeen","Generation I","Goldeen is a very beautiful Pokémon with fins that billow elegantly in water. However, don't let your guard down around this Pokémon—it could ram you powerfully with its horn.","Water","","Fire","Water","Ice","Steel","","","","","","","","","Electric","Grass","","","","","","Mud Shot","Ground","6","Aqua Tail","Water","45","13.13kg","16.88kg","0.53m","0.68m","3km (Medium)","90 stamina points.","123 attack points.","115 defense points.","15% chance to flee.","","","","","","","","","","","50","Goldeen candies","119","Seaking","851","965"
"","","","","","","","","","","","","","","","","","","","","","","","","","Peck","Flying","10","Horn Attack","Normal","25","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Water Pulse","Water","35","","","","","","","","","","","","","","","","","","","","","","","","",""
"119","Seaking","Generation I","In the autumn, Seaking males can be seen performing courtship dances in riverbeds to woo females. During this season, this Pokémon's body coloration is at its most beautiful.","Water","","Fire","Water","Ice","Steel","","","","","","","","","Electric","Grass","","","","","","Peck","Flying","10","Drill Run","Ground","50","34.13kg","43.88kg","1.14m","1.46m","3km (Big)","160 stamina points.","175 attack points.","154 defense points.","7% chance to flee.","","","","","","","","","118","Goldeen","","","","","1877","2043"
"","","","","","","","","","","","","","","","","","","","","","","","","","Poison Jab","Poison","12","Icy Wind","Ice","25","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Megahorn","Bug","80","","","","","","","","","","","","","","","","","","","","","","","","",""
"120","Staryu","Generation I","Staryu's center section has an organ called the core that shines bright red. If you go to a beach toward the end of summer, the glowing cores of these Pokémon look like the stars in the sky.","Water","","Fire","Water","Ice","Steel","","","","","","","","","Electric","Grass","","","","","","Tackle","Normal","12","Bubble Beam","Water","30","30.19kg","38.81kg","0.7m","0.9m","3km (Medium)","60 stamina points.","137 attack points.","112 defense points.","15% chance to flee.","","","","","","","","","","","50","Staryu candies","121","Starmie","821","937"
"","","","","","","","","","","","","","","","","","","","","","","","","","Water Gun","Water","6","Power Gem","Rock","40","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Swift","Normal","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"121","Starmie","Generation I","Starmie's center section-the core-glows brightly in seven colors. Because of its luminous nature, this Pokémon has been given the nickname the gem of the sea.""""","Water","Psychic","Fire","Water","Ice","Fighting","Psychic","Steel","","","","","","","Electric","Grass","Bug","Ghost","Dark","","","Tackle","Normal","12","Hydro Pump","Water","90","70kg","90kg","0.96m","1.24m","3km (Big)","120 stamina points.","210 attack points.","184 defense points.","6% chance to flee.","","","","","","","","","120","Staryu","","","","","2007","2182"
"","","","","","","","","","","","","","","","","","","","","","","","","","Water Gun","Water","6","Power Gem","Rock","40","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Psychic","Psychic","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"122","Mr Mime","Generation I","Mr. Mime is a master of pantomime. Its gestures and motions convince watchers that something unseeable actually exists. Once the watchers are convinced, the unseeable thing exists as if it were real.","Psychic","Fairy","Fighting","Psychic","Dragon","","","","","","","","","","Poison","Ghost","Steel","","","","","Confusion","Psychic","15","Psybeam","Psychic","40","47.69kg","61.31kg","1.14m","1.46m","5km (Medium)","80 stamina points.","192 attack points.","233 defense points.","9% chance to flee.","","","","Early reports that this Pokèmon is likely to be found in: Western Europe or hatched from an Egg in that geographic area.","","Common Capture Area","","","","","","","","","1345","1494"
"","","","","","","","","","","","","","","","","","","","","","","","","","Zen Headbutt","Psychic","12","Psychic","Psychic","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Shadow Ball","Ghost","45","","","","","","","","","","","","","","","","","","","","","","","","",""
"123","Scyther","Generation I","Scyther is blindingly fast. Its blazing speed enhances the effectiveness of the twin scythes on its forearms. This Pokémon's scythes are so effective, they can slice through thick logs in one wicked stroke.","Bug","Flying","Grass","Fighting","Ground","Bug","","","","","","","","","Fire","Electric","Ice","Flying","Rock","","","Fury Cutter","Bug","3","Bug Buzz","Bug","75","49kg","63kg","1.31m","1.69m","5km (Big)","140 stamina points.","218 attack points.","170 defense points.","9% chance to flee.","","","","","","","","","","","","","212","Scizor","1905","2073"
"","","","","","","","","","","","","","","","","","","","","","","","","","Steel Wing","Steel","15","Night Slash","Dark","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","X Scissor","Bug","35","","","","","","","","","","","","","","","","","","","","","","","","",""
"124","Jynx","Generation I","Jynx walks rhythmically, swaying and shaking its hips as if it were dancing. Its motions are so bouncingly alluring, people seeing it are compelled to shake their hips without giving any thought to what they are doing.","Ice","Psychic","Ice","Psychic","","","","","","","","","","","Fire","Bug","Rock","Ghost","Dark","Steel","","Frost Breath","Ice","9","Draining Kiss","Fairy","25","35.52kg","45.67kg","1.22m","1.57m","5km (Big)","130 stamina points.","223 attack points.","182 defense points.","9% chance to flee.","","","","","","","","","238","Smoochum","","","","","1563","1716"
"","","","","","","","","","","","","","","","","","","","","","","","","","Pound","Normal","7","Ice Punch","Ice","45","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Psyshock","Psychic","40","","","","","","","","","","","","","","","","","","","","","","","","",""
"125","Electabuzz","Generation I","When a storm arrives, gangs of this Pokémon compete with each other to scale heights that are likely to be stricken by lightning bolts. Some towns use Electabuzz in place of lightning rods.","Electric","","Electric","Flying","Steel","","","","","","","","","","Ground","","","","","","","Low Kick","Fighting","5","Thunder","Electric","100","26.25kg","33.75kg","0.96m","1.24m","5km (Medium)","130 stamina points.","198 attack points.","173 defense points.","9% chance to flee.","","","","","","","","","239","Elekid","","","","","1947","2119"
"","","","","","","","","","","","","","","","","","","","","","","","","","Thunder Shock","Electric","5","Thunder Punch","Electric","40","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Thunderbolt","Electric","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"126","Magmar","Generation I","In battle, Magmar blows out intensely hot flames from all over its body to intimidate its opponent. This Pokémon's fiery bursts create heat waves that ignite grass and trees in its surroundings.","Fire","","Fire","Grass","Ice","Bug","Steel","Fairy","","","","","","","Water","Ground","Rock","","","","","Ember","Fire","10","Fire Blast","Fire","100","38.94kg","50.06kg","1.14m","1.46m","5km (Big)","130 stamina points.","206 attack points.","169 defense points.","9% chance to flee.","","","","","","","","","240","Magby","","","","","2086","2265"
"","","","","","","","","","","","","","","","","","","","","","","","","","Karate Chop","Fighting","6","Fire Punch","Fire","40","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Flamethrower","Fire","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"127","Pinsir","Generation I","Pinsir is astoundingly strong. It can grip a foe weighing twice its weight in its horns and easily lift it. This Pokémon's movements turn sluggish in cold places.","Bug","","Grass","Fighting","Ground","","","","","","","","","","Fire","Flying","Rock","","","","","Fury Cutter","Bug","3","Submission","Fighting","30","48.13kg","61.88kg","1.31m","1.69m","5km (Big)","130 stamina points.","238 attack points.","197 defense points.","9% chance to flee.","","","","","","","","","","","","","","","1950","2121"
"","","","","","","","","","","","","","","","","","","","","","","","","","Rock Smash","Fighting","15","Vice Grip","Normal","25","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","X Scissor","Bug","35","","","","","","","","","","","","","","","","","","","","","","","","",""
"128","Tauros","Generation I","This Pokémon is not satisfied unless it is rampaging at all times. If there is no opponent for Tauros to battle, it will charge at thick trees and knock them down to calm itself.","Normal","","Ghost","","","","","","","","","","","","Fighting","","","","","","","Tackle","Normal","12","Earthquake","Ground","100","77.35kg","99.45kg","1.22m","1.57m","3km (Big)","150 stamina points.","198 attack points.","197 defense points.","9% chance to flee.","","","","Early reports that this Pokèmon is likely to be found in: North America or hatched from an Egg in that geographic area.","Common Capture Area","","","","","","","","","","1686","1844"
"","","","","","","","","","","","","","","","","","","","","","","","","","Zen Headbutt","Psychic","12","Horn Attack","Normal","25","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Iron Head","Steel","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"129","Magikarp","Generation I","Magikarp is a pathetic excuse for a Pokémon that is only capable of flopping and splashing. This behavior prompted scientists to undertake research into it.","Water","","Fire","Water","Ice","Steel","","","","","","","","","Electric","Grass","","","","","","Splash","Water","0","Struggle","Normal","15","8.75kg","11.25kg","0.79m","1.01m","1km (Medium)","40 stamina points.","29 attack points.","102 defense points.","15% chance to flee.","","","","","","","","","","","400","Magikarp candies","130","Gyarados","203","262"
"130","Gyarados","Generation I","When Magikarp evolves into Gyarados, its brain cells undergo a structural transformation. It is said that this transformation is to blame for this Pokémon's wildly violent nature.","Water","Flying","Fire","Water","Fighting","Ground","Bug","Steel","","","","","","","Electric","Rock","","","","","","Bite","Dark","6","Dragon Pulse","Dragon","65","205.63kg","264.38kg","5.69m","7.31m","1km (Big)","190 stamina points.","237 attack points.","197 defense points.","7% chance to flee.","","","","","","","","","129","Magikarp","","","","","2498","2688"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hydro Pump","Water","90","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Twister","Dragon","25","","","","","","","","","","","","","","","","","","","","","","","","",""
"131","Lapras","Generation I","People have driven Lapras almost to the point of extinction. In the evenings, this Pokémon is said to sing plaintively as it seeks what few others of its kind still remain.","Water","Ice","Water","Ice","","","","","","","","","","","Electric","Grass","Fighting","Rock","","","","Frost Breath","Ice","9","Blizzard","Ice","100","192.5kg","247.5kg","2.19m","2.81m","5km (Big)","260 stamina points.","186 attack points.","190 defense points.","9% chance to flee.","","","","","","","","","","","","","","","2777","2980"
"","","","","","","","","","","","","","","","","","","","","","","","","","Ice Shard","Ice","15","Dragon Pulse","Dragon","65","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Ice Beam","Ice","65","","","","","","","","","","","","","","","","","","","","","","","","",""
"132","Ditto","Generation I","Ditto rearranges its cell structure to transform itself into other shapes. However, if it tries to transform itself into something by relying on its memory, this Pokémon manages to get details wrong.","Normal","","Ghost","","","","","","","","","","","","Fighting","","","","","","","Transform","Normal","0","Struggle","Normal","15","3.5kg","4.5kg","0.26m","0.34m","3km (Medium)","96 stamina points.","91 attack points.","91 defense points.","10% chance to flee.","","","","","","","","","","","","","","","809","919"
"133","Eevee","Generation I","Eevee has an unstable genetic makeup that suddenly mutates due to the environment in which it lives. Radiation from various stones causes this Pokémon to evolve.","Normal","","Ghost","","","","","","","","","","","","Fighting","","","","","","","Quick Attack","Normal","10","Body Slam","Normal","40","5.69kg","7.31kg","0.26m","0.34m","5km (Shoulder)","110 stamina points.","104 attack points.","121 defense points.","10% chance to flee.","","","","","","","","","","","25","Eevee candies","134","Vaporeon","957","1077"
"","","","","","","","","","","","","","","","","","","","","","","","","","Tackle","Normal","12","Dig","Ground","70","","","","","","","","","","","","","","","","","","","","","","135","Jolteon","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Swift","Normal","30","","","","","","","","","","","","","","","","","","","","","","136","Flareon","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","196","Espeon","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","197","Umbreon","",""
"134","Vaporeon","Generation I","Vaporeon underwent a spontaneous mutation and grew fins and gills that allow it to live underwater. This Pokémon has the ability to freely control water.","Water","","Fire","Water","Ice","Steel","","","","","","","","","Electric","Grass","","","","","","Water Gun","Water","6","Aqua Tail","Water","45","25.38kg","32.63kg","0.88m","1.13m","5km (Medium)","260 stamina points.","205 attack points.","177 defense points.","6% chance to flee.","","","","","","","","","133","Eevee","","","","","2618","2816"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hydro Pump","Water","90","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Water Pulse","Water","35","","","","","","","","","","","","","","","","","","","","","","","","",""
"135","Jolteon","Generation I","Jolteon's cells generate a low level of electricity. This power is amplified by the static electricity of its fur, enabling the Pokémon to drop thunderbolts. The bristling fur is made of electrically charged needles.","Electric","","Electric","Flying","Steel","","","","","","","","","","Ground","","","","","","","Thunder Shock","Electric","5","Discharge","Electric","35","21.44kg","27.56kg","0.7m","0.9m","5km (Medium)","130 stamina points.","232 attack points.","201 defense points.","6% chance to flee.","","","","","","","","","133","Eevee","","","","","1968","2140"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Thunder","Electric","100","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Thunderbolt","Electric","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"136","Flareon","Generation I","Flareon's fluffy fur has a functional purpose-it releases heat into the air so that its body does not get excessively hot. This Pokémon's body temperature can rise to a maximum of 1,650 degrees Fahrenheit.","Fire","","Fire","Grass","Ice","Bug","Steel","Fairy","","","","","","","Water","Ground","Rock","","","","","Ember","Fire","10","Fire Blast","Fire","100","21.88kg","28.13kg","0.79m","1.01m","5km (Medium)","130 stamina points.","246 attack points.","204 defense points.","6% chance to flee.","","","","","","","","","133","Eevee","","","","","2448","2643"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Flamethrower","Fire","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Heat Wave","Fire","80","","","","","","","","","","","","","","","","","","","","","","","","",""
"137","Porygon","Generation I","Porygon is capable of reverting itself entirely back to program data and entering cyberspace. This Pokémon is copy-protected so it cannot be duplicated by copying.","Normal","","Ghost","","","","","","","","","","","","Fighting","","","","","","","Tackle","Normal","12","Discharge","Electric","35","31.94kg","41.06kg","0.7m","0.9m","3km (Big)","130 stamina points.","153 attack points.","139 defense points.","9% chance to flee.","","","","","","","","","","","","","233","Porygon2","1540","1691"
"","","","","","","","","","","","","","","","","","","","","","","","","","Zen Headbutt","Psychic","12","Psybeam","Psychic","40","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Signal Beam","Bug","45","","","","","","","","","","","","","","","","","","","","","","","","",""
"138","Omanyte","Generation I","Omanyte is one of the ancient and long-since-extinct Pokémon that have been regenerated from fossils by people. If attacked by an enemy, it withdraws itself inside its hard shell.","Rock","Water","Normal","Fire","Ice","Poison","Flying","","","","","","","","Electric","Grass","Fighting","Ground","","","","Mud Shot","Ground","6","Ancient Power","Rock","35","6.56kg","8.44kg","0.35m","0.45m","5km (Medium)","70 stamina points.","155 attack points.","174 defense points.","9% chance to flee.","","","","","","","","","","","50","Omanyte candies","139","Omastar","992","1119"
"","","","","","","","","","","","","","","","","","","","","","","","","","Water Gun","Water","6","Brine","Water","25","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Rock Tomb","Rock","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"140","Kabuto","Generation I","Kabuto is a Pokémon that has been regenerated from a fossil. However, in extremely rare cases, living examples have been discovered. The Pokémon has not changed at all for 300 million years.","Rock","Water","Normal","Fire","Ice","Poison","Flying","","","","","","","","Electric","Grass","Fighting","Ground","","","","Mud Shot","Ground","6","Ancient Power","Rock","35","10.06kg","12.94kg","0.44m","0.56m","5km (Medium)","60 stamina points.","148 attack points.","162 defense points.","9% chance to flee.","","","","","","","","","","","50","Kabuto candies","141","Kabutops","975","1104"
"","","","","","","","","","","","","","","","","","","","","","","","","","Scratch","Normal","6","Aqua Jet","Water","25","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Rock Tomb","Rock","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"141","Kabutops","Generation I","Kabutops swam underwater to hunt for its prey in ancient times. The Pokémon was apparently evolving from being a water-dweller to living on land as evident from the beginnings of change in its gills and legs.","Rock","Water","Normal","Fire","Ice","Poison","Flying","","","","","","","","Electric","Grass","Fighting","Ground","","","","Fury Cutter","Bug","3","Ancient Power","Rock","35","35.44kg","45.56kg","1.14m","1.46m","5km (Big)","120 stamina points.","220 attack points.","203 defense points.","5% chance to flee.","","","","","","","","","140","Kabuto","","","","","1957","2130"
"","","","","","","","","","","","","","","","","","","","","","","","","","Mud Shot","Ground","6","Stone Edge","Rock","80","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Water Pulse","Water","35","","","","","","","","","","","","","","","","","","","","","","","","",""
"142","Aerodactyl","Generation I","Aerodactyl is a Pokémon from the age of dinosaurs. It was regenerated from genetic material extracted from amber. It is imagined to have been the king of the skies in ancient times.","Rock","Flying","Normal","Fire","Poison","Flying","Bug","","","","","","","","Water","Electric","Ice","Rock","Steel","","","Bite","Dark","6","Ancient Power","Rock","35","51.63kg","66.38kg","1.57m","2.02m","5km (Big)","160 stamina points.","221 attack points.","164 defense points.","9% chance to flee.","","","","","","","","","","","","","","","1994","2165"
"","","","","","","","","","","","","","","","","","","","","","","","","","Steel Wing","Steel","15","Hyper Beam","Normal","120","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Iron Head","Steel","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"143","Snorlax","Generation I","Snorlax's typical day consists of nothing more than eating and sleeping. It is such a docile Pokémon that there are children who use its expansive belly as a place to play.","Normal","","Ghost","","","","","","","","","","","","Fighting","","","","","","","Lick","Ghost","5","Body Slam","Normal","40","402.5kg","517.5kg","1.84m","2.36m","5km (Big)","320 stamina points.","190 attack points.","190 defense points.","9% chance to flee.","","","","","","","","","","","","","","","2901","3112"
"","","","","","","","","","","","","","","","","","","","","","","","","","Zen Headbutt","Psychic","12","Earthquake","Ground","100","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hyper Beam","Normal","120","","","","","","","","","","","","","","","","","","","","","","","","",""
"144","Articuno","Generation I","Articuno is a legendary bird Pokémon that can control ice. The flapping of its wings chills the air. As a result, it is said that when this Pokémon flies, snow will fall.","Ice","Flying","Grass","Ground","Bug","","","","","","","","","","Fire","Electric","Rock","Steel","","","","Frost Breath","Ice","9","Blizzard","Ice","100","48.48kg","62.33kg","1.49m","1.91m","5km (Flying)","180 stamina points.","192 attack points.","249 defense points.","10% chance to flee.","This is a LEGENDARY Pokèmon.","","Pokèmon Class","","","","","","","","","","","","2776","2978"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Ice Beam","Ice","65","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Icy Wind","Ice","25","","","","","","","","","","","","","","","","","","","","","","","","",""
"145","Zapdos","Generation I","Zapdos is a legendary bird Pokémon that has the ability to control electricity. It usually lives in thunderclouds. The Pokémon gains power if it is stricken by lightning bolts.","Electric","Flying","Grass","Fighting","Flying","Bug","Steel","","","","","","","","Ice","Rock","","","","","","Thunder Shock","Electric","5","Discharge","Electric","35","46.02kg","59.17kg","1.4m","1.8m","5km (Flying)","180 stamina points.","253 attack points.","188 defense points.","10% chance to flee.","This is a LEGENDARY Pokèmon.","","Pokèmon Class","","","","","","","","","","","","2907","3114"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Thunder","Electric","100","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Thunderbolt","Electric","55","","","","","","","","","","","","","","","","","","","","","","","","",""
